"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.956","0.152","39.363","0.000","-1.255","-0.657","-1.207","-0.705"
"c_age","-0.001","0.010"," 0.016","0.900","-0.020"," 0.018","-0.017"," 0.015"
"c_is_male","-0.497","0.258"," 3.711","0.054","-1.002"," 0.009","-0.921","-0.073"
"c_is_latino","-0.093","0.295"," 0.099","0.754","-0.672"," 0.486","-0.578"," 0.393"
"c_is_not_latino_and_black","-0.016","0.296"," 0.003","0.957","-0.597"," 0.565","-0.503"," 0.471"
"c_is_not_latino_and_other"," 0.632","0.354"," 3.198","0.074","-0.061"," 1.326"," 0.051"," 1.214"
"c_baseline_tobacco_history"," 0.043","0.013","10.423","0.001"," 0.017"," 0.069"," 0.021"," 0.064"
"c_has_partner"," 0.681","0.227"," 8.998","0.003"," 0.236"," 1.126"," 0.308"," 1.055"
"c_income_val","-0.048","0.042"," 1.312","0.252","-0.129"," 0.034","-0.116"," 0.021"
"c_any_prompt","-0.009","0.085"," 0.012","0.912","-0.176"," 0.157","-0.149"," 0.130"
"Y"," 0.220","0.153"," 2.077","0.150","-0.079"," 0.520","-0.031"," 0.472"
