"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-1.113","0.142","61.080","0.000","-1.392","-0.834","-1.347","-0.878"
"c_age","-0.005","0.008"," 0.512","0.474","-0.021"," 0.010","-0.018"," 0.007"
"c_is_male","-0.402","0.213"," 3.561","0.059","-0.819"," 0.016","-0.752","-0.052"
"c_is_latino","-0.116","0.247"," 0.220","0.639","-0.599"," 0.368","-0.521"," 0.290"
"c_is_not_latino_and_black"," 0.060","0.257"," 0.055","0.815","-0.443"," 0.564","-0.362"," 0.483"
"c_is_not_latino_and_other"," 0.691","0.332"," 4.338","0.037"," 0.041"," 1.342"," 0.145"," 1.237"
"c_baseline_tobacco_history"," 0.032","0.010"," 9.969","0.002"," 0.012"," 0.052"," 0.015"," 0.049"
"c_has_partner"," 0.526","0.187"," 7.868","0.005"," 0.158"," 0.893"," 0.217"," 0.834"
"c_income_val","-0.019","0.035"," 0.293","0.588","-0.087"," 0.050","-0.076"," 0.039"
"c_any_prompt","-0.085","0.112"," 0.582","0.445","-0.304"," 0.134","-0.269"," 0.099"
"c_substance_is_cigarettes"," 1.861","0.199","87.276","0.000"," 1.470"," 2.251"," 1.533"," 2.188"
"Y"," 0.079","0.152"," 0.271","0.603","-0.219"," 0.377","-0.171"," 0.329"
