"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.384","0.285","0.518","0.299","0.494"
"c_age","0.999","0.980","1.018","0.983","1.015"
"c_is_male","0.609","0.367","1.009","0.398","0.930"
"c_is_latino","0.911","0.511","1.626","0.561","1.481"
"c_is_not_latino_and_black","0.984","0.551","1.759","0.604","1.602"
"c_is_not_latino_and_other","1.882","0.941","3.764","1.052","3.367"
"c_baseline_tobacco_history","1.044","1.017","1.071","1.021","1.067"
"c_has_partner","1.976","1.266","3.084","1.360","2.871"
"c_income_val","0.954","0.879","1.034","0.891","1.021"
"c_any_prompt","0.991","0.839","1.170","0.862","1.139"
"Y","1.247","0.924","1.682","0.969","1.603"
