"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.329","0.249","0.435","0.260","0.415"
"c_age","0.995","0.980","1.010","0.982","1.007"
"c_is_male","0.669","0.441","1.016","0.471","0.950"
"c_is_latino","0.891","0.549","1.445","0.594","1.337"
"c_is_not_latino_and_black","1.062","0.642","1.757","0.696","1.620"
"c_is_not_latino_and_other","1.996","1.042","3.826","1.156","3.446"
"c_baseline_tobacco_history","1.033","1.012","1.054","1.016","1.050"
"c_has_partner","1.692","1.172","2.442","1.243","2.302"
"c_income_val","0.981","0.916","1.051","0.926","1.039"
"c_any_prompt","0.918","0.738","1.143","0.764","1.104"
"c_substance_is_cigarettes","6.429","4.351","9.499","4.633","8.921"
"Y","1.082","0.803","1.458","0.843","1.390"
