"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.271","0.544"," 0.248","0.619","-0.795","1.336","-0.624","1.165"
"c_age","-0.019","0.033"," 0.344","0.558","-0.084","0.045","-0.074","0.035"
"c_is_male","-1.239","0.893"," 1.925","0.165","-2.988","0.511","-2.707","0.230"
"c_is_latino","-0.338","0.688"," 0.241","0.623","-1.686","1.011","-1.470","0.794"
"c_is_not_latino_and_black"," 0.214","1.258"," 0.029","0.865","-2.251","2.679","-1.855","2.283"
"c_baseline_tobacco_history","-0.030","0.039"," 0.604","0.437","-0.107","0.046","-0.095","0.034"
"c_has_partner"," 0.253","0.728"," 0.121","0.728","-1.174","1.680","-0.944","1.451"
"c_income_val"," 0.090","0.150"," 0.364","0.546","-0.203","0.384","-0.156","0.337"
"c_any_prompt_counts","-0.124","0.147"," 0.715","0.398","-0.413","0.164","-0.367","0.118"
"c_any_nic"," 3.621","0.708","26.133","0.000"," 2.233","5.010"," 2.456","4.787"
"n_engaged","-0.014","0.148"," 0.009","0.923","-0.305","0.276","-0.258","0.229"
