"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.391","0.313","19.697","0.000"," 0.777"," 2.005"," 0.875"," 1.906"
"c_age"," 0.000","0.014"," 0.000","0.987","-0.028"," 0.028","-0.024"," 0.023"
"c_is_male","-0.742","0.334"," 4.953","0.026","-1.396","-0.089","-1.291","-0.194"
"c_is_latino"," 0.076","0.382"," 0.040","0.842","-0.672"," 0.824","-0.552"," 0.704"
"c_is_not_latino_and_black","-0.195","0.396"," 0.242","0.623","-0.972"," 0.582","-0.847"," 0.457"
"c_is_not_latino_and_other"," 1.356","0.932"," 2.118","0.146","-0.470"," 3.183","-0.177"," 2.889"
"c_baseline_tobacco_history"," 0.049","0.019"," 6.658","0.010"," 0.012"," 0.086"," 0.018"," 0.080"
"c_has_partner"," 0.592","0.303"," 3.813","0.051","-0.002"," 1.187"," 0.093"," 1.091"
"c_income_val"," 0.008","0.069"," 0.014","0.906","-0.126"," 0.142","-0.105"," 0.121"
"c_any_prompt_counts"," 0.064","0.075"," 0.740","0.390","-0.082"," 0.211","-0.059"," 0.188"
"n_engaged"," 0.089","0.084"," 1.120","0.290","-0.076"," 0.253","-0.049"," 0.227"
