"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.532","0.331","21.374","0.000"," 0.882","2.181"," 0.987","2.077"
"c_age","-0.028","0.019"," 2.169","0.141","-0.064","0.009","-0.058","0.003"
"c_is_male","-0.605","0.431"," 1.968","0.161","-1.451","0.240","-1.315","0.104"
"c_is_latino"," 0.322","0.468"," 0.473","0.491","-0.596","1.241","-0.448","1.093"
"c_is_not_latino_and_black"," 0.092","0.512"," 0.033","0.857","-0.912","1.097","-0.750","0.935"
"c_is_not_latino_and_other"," 2.269","0.506","20.113","0.000"," 1.277","3.260"," 1.436","3.101"
"c_baseline_tobacco_history","-0.026","0.017"," 2.212","0.137","-0.060","0.008","-0.054","0.003"
"c_has_partner","-0.085","0.277"," 0.095","0.758","-0.629","0.458","-0.542","0.371"
"c_income_val","-0.019","0.049"," 0.144","0.704","-0.115","0.078","-0.100","0.062"
"c_any_prompt_counts","-0.126","0.106"," 1.404","0.236","-0.334","0.082","-0.300","0.049"
"c_n_nic"," 0.556","0.100","30.969","0.000"," 0.360","0.752"," 0.392","0.721"
"n_engaged"," 0.002","0.081"," 0.001","0.978","-0.157","0.162","-0.131","0.136"
