"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","1.017","0.452","2.285","0.515","2.006"
"c_age","1.013","0.979","1.048","0.984","1.042"
"c_is_male","0.654","0.260","1.644","0.302","1.418"
"c_is_latino","1.017","0.388","2.669","0.453","2.286"
"c_is_not_latino_and_black","0.633","0.229","1.753","0.269","1.488"
"c_is_not_latino_and_other","2.306","0.646","8.238","0.792","6.714"
"c_baseline_tobacco_history","1.043","0.992","1.096","1.000","1.087"
"c_has_partner","1.692","0.727","3.935","0.833","3.436"
"c_income_val","1.015","0.844","1.220","0.870","1.185"
"c_any_prompt_counts","0.938","0.780","1.127","0.804","1.094"
"n_engaged","1.144","0.917","1.428","0.950","1.378"
