"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.311","0.452","  3.805"," 0.536","  3.206"
"c_age"," 0.981","0.919","  1.046"," 0.929","  1.036"
"c_is_male"," 0.290","0.050","  1.667"," 0.067","  1.258"
"c_is_latino"," 0.713","0.185","  2.748"," 0.230","  2.212"
"c_is_not_latino_and_black"," 1.238","0.105"," 14.568"," 0.156","  9.801"
"c_baseline_tobacco_history"," 0.970","0.898","  1.048"," 0.909","  1.035"
"c_has_partner"," 1.288","0.309","  5.367"," 0.389","  4.267"
"c_income_val"," 1.095","0.816","  1.468"," 0.856","  1.400"
"c_any_prompt_counts"," 0.883","0.662","  1.178"," 0.693","  1.125"
"c_any_nic","37.388","9.327","149.873","11.660","119.889"
"n_engaged"," 0.986","0.737","  1.318"," 0.772","  1.258"
