"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.685","0.154","19.722","0.000","-0.987","-0.383","-0.939","-0.431"
"c_age","-0.012","0.011"," 1.175","0.278","-0.033"," 0.010","-0.030"," 0.006"
"c_is_male","-0.531","0.261"," 4.152","0.042","-1.042","-0.020","-0.960","-0.102"
"c_is_latino","-0.043","0.301"," 0.020","0.887","-0.632"," 0.547","-0.537"," 0.452"
"c_is_not_latino_and_black"," 0.037","0.294"," 0.016","0.900","-0.540"," 0.614","-0.447"," 0.521"
"c_is_not_latino_and_other"," 0.349","0.409"," 0.726","0.394","-0.454"," 1.151","-0.325"," 1.022"
"c_baseline_tobacco_history"," 0.030","0.014"," 4.695","0.030"," 0.003"," 0.056"," 0.007"," 0.052"
"c_has_partner"," 0.601","0.224"," 7.187","0.007"," 0.161"," 1.040"," 0.232"," 0.969"
"c_income_val","-0.035","0.044"," 0.638","0.424","-0.120"," 0.051","-0.106"," 0.037"
"c_any_prompt"," 0.002","0.087"," 0.001","0.978","-0.168"," 0.173","-0.141"," 0.145"
"Y"," 0.142","0.164"," 0.746","0.388","-0.180"," 0.464","-0.128"," 0.412"
