"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.504","0.373","0.682","0.391","0.650"
"c_age","0.988","0.967","1.010","0.971","1.006"
"c_is_male","0.588","0.353","0.980","0.383","0.903"
"c_is_latino","0.958","0.532","1.728","0.584","1.571"
"c_is_not_latino_and_black","1.038","0.583","1.848","0.639","1.685"
"c_is_not_latino_and_other","1.417","0.635","3.162","0.723","2.779"
"c_baseline_tobacco_history","1.030","1.003","1.058","1.007","1.053"
"c_has_partner","1.823","1.175","2.828","1.261","2.636"
"c_income_val","0.966","0.887","1.052","0.899","1.038"
"c_any_prompt","1.002","0.845","1.189","0.869","1.156"
"Y","1.152","0.835","1.591","0.879","1.510"
