"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.426","0.326","0.557","0.340","0.534"
"c_age","0.988","0.972","1.004","0.974","1.001"
"c_is_male","0.647","0.427","0.978","0.457","0.915"
"c_is_latino","0.932","0.584","1.490","0.629","1.382"
"c_is_not_latino_and_black","1.126","0.703","1.804","0.759","1.672"
"c_is_not_latino_and_other","1.645","0.794","3.406","0.893","3.030"
"c_baseline_tobacco_history","1.024","1.003","1.046","1.007","1.042"
"c_has_partner","1.632","1.147","2.321","1.214","2.193"
"c_income_val","0.989","0.922","1.062","0.932","1.050"
"c_any_prompt","0.959","0.782","1.175","0.808","1.137"
"c_substance_is_any_nicotine","6.796","4.641","9.953","4.934","9.361"
"Y","1.006","0.746","1.357","0.783","1.294"
