"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.203","0.425","0.227","0.634","-0.631","1.036","-0.497","0.902"
"c_age","-0.007","0.017","0.169","0.681","-0.041","0.027","-0.035","0.021"
"c_is_male","-0.231","0.473","0.239","0.625","-1.159","0.696","-1.010","0.547"
"c_is_latino"," 0.105","0.484","0.047","0.828","-0.844","1.055","-0.691","0.902"
"c_is_not_latino_and_black","-0.482","0.530","0.828","0.363","-1.521","0.556","-1.354","0.389"
"c_is_not_latino_and_other"," 0.638","0.674","0.896","0.344","-0.683","1.960","-0.471","1.747"
"c_baseline_tobacco_history"," 0.029","0.025","1.316","0.251","-0.020","0.078","-0.012","0.070"
"c_has_partner"," 0.370","0.419","0.781","0.377","-0.450","1.190","-0.319","1.058"
"c_income_val"," 0.003","0.097","0.001","0.977","-0.187","0.192","-0.156","0.162"
"c_any_prompt_counts","-0.008","0.096","0.007","0.935","-0.196","0.180","-0.165","0.150"
"n_engaged"," 0.126","0.119","1.122","0.289","-0.107","0.358","-0.069","0.321"
