"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.381","0.506"," 0.567","0.451","-0.611"," 1.374","-0.452"," 1.214"
"c_age","-0.011","0.036"," 0.089","0.766","-0.080"," 0.059","-0.069"," 0.048"
"c_is_male","-1.801","0.834"," 4.668","0.031","-3.435","-0.167","-3.173","-0.430"
"c_is_latino","-0.326","0.688"," 0.225","0.635","-1.675"," 1.023","-1.458"," 0.806"
"c_is_not_latino_and_black"," 0.736","1.364"," 0.291","0.589","-1.937"," 3.410","-1.507"," 2.980"
"c_baseline_tobacco_history","-0.020","0.039"," 0.253","0.615","-0.096"," 0.057","-0.084"," 0.044"
"c_has_partner"," 0.574","0.719"," 0.637","0.425","-0.835"," 1.984","-0.609"," 1.757"
"c_income_val"," 0.034","0.134"," 0.066","0.798","-0.228"," 0.297","-0.186"," 0.255"
"c_any_prompt_counts","-0.148","0.150"," 0.967","0.325","-0.443"," 0.147","-0.395"," 0.099"
"c_any_nic"," 4.040","0.729","30.667","0.000"," 2.610"," 5.469"," 2.840"," 5.239"
"n_engaged","-0.060","0.126"," 0.228","0.633","-0.307"," 0.187","-0.268"," 0.147"
