"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","1.225","0.532","2.819","0.608","2.465"
"c_age","0.993","0.960","1.027","0.965","1.021"
"c_is_male","0.793","0.314","2.006","0.364","1.728"
"c_is_latino","1.111","0.430","2.871","0.501","2.465"
"c_is_not_latino_and_black","0.617","0.219","1.744","0.258","1.476"
"c_is_not_latino_and_other","1.893","0.505","7.096","0.624","5.738"
"c_baseline_tobacco_history","1.029","0.980","1.081","0.988","1.072"
"c_has_partner","1.448","0.637","3.288","0.727","2.882"
"c_income_val","1.003","0.830","1.212","0.855","1.176"
"c_any_prompt_counts","0.992","0.822","1.197","0.848","1.162"
"n_engaged","1.134","0.899","1.430","0.933","1.378"
