"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.464"," 0.543","  3.951"," 0.637","  3.368"
"c_age"," 0.989"," 0.923","  1.061"," 0.933","  1.049"
"c_is_male"," 0.165"," 0.032","  0.846"," 0.042","  0.651"
"c_is_latino"," 0.722"," 0.187","  2.780"," 0.233","  2.238"
"c_is_not_latino_and_black"," 2.088"," 0.144"," 30.257"," 0.221"," 19.686"
"c_baseline_tobacco_history"," 0.981"," 0.909","  1.058"," 0.920","  1.045"
"c_has_partner"," 1.775"," 0.434","  7.269"," 0.544","  5.795"
"c_income_val"," 1.035"," 0.796","  1.346"," 0.830","  1.290"
"c_any_prompt_counts"," 0.863"," 0.642","  1.158"," 0.674","  1.105"
"c_any_nic","56.805","13.598","237.306","17.112","188.574"
"n_engaged"," 0.942"," 0.735","  1.206"," 0.765","  1.159"
