"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.893","0.147","36.757","0.000","-1.182","-0.604","-1.136","-0.651"
"c_age","-0.004","0.010"," 0.184","0.668","-0.023"," 0.015","-0.020"," 0.012"
"c_is_male","-0.519","0.258"," 4.044","0.044","-1.025","-0.013","-0.944","-0.095"
"c_is_latino","-0.106","0.291"," 0.134","0.715","-0.677"," 0.464","-0.585"," 0.372"
"c_is_not_latino_and_black"," 0.162","0.292"," 0.307","0.580","-0.411"," 0.734","-0.319"," 0.642"
"c_is_not_latino_and_other"," 0.543","0.353"," 2.367","0.124","-0.149"," 1.236","-0.038"," 1.124"
"c_baseline_tobacco_history"," 0.039","0.013"," 8.406","0.004"," 0.013"," 0.065"," 0.017"," 0.061"
"c_has_partner"," 0.567","0.218"," 6.767","0.009"," 0.140"," 0.993"," 0.208"," 0.925"
"c_income_val","-0.026","0.043"," 0.358","0.550","-0.110"," 0.059","-0.097"," 0.045"
"c_any_prompt","-0.005","0.084"," 0.003","0.956","-0.169"," 0.159","-0.142"," 0.133"
"Y"," 0.277","0.157"," 3.109","0.078","-0.031"," 0.585"," 0.019"," 0.535"
