"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-1.026","0.137","56.153","0.000","-1.294","-0.757","-1.251","-0.800"
"c_age","-0.007","0.008"," 0.819","0.365","-0.022"," 0.008","-0.019"," 0.006"
"c_is_male","-0.408","0.219"," 3.455","0.063","-0.838"," 0.022","-0.769","-0.047"
"c_is_latino","-0.128","0.244"," 0.276","0.599","-0.606"," 0.350","-0.530"," 0.273"
"c_is_not_latino_and_black"," 0.197","0.247"," 0.640","0.424","-0.286"," 0.680","-0.208"," 0.603"
"c_is_not_latino_and_other"," 0.632","0.337"," 3.515","0.061","-0.029"," 1.292"," 0.078"," 1.186"
"c_baseline_tobacco_history"," 0.029","0.011"," 7.246","0.007"," 0.008"," 0.050"," 0.011"," 0.047"
"c_has_partner"," 0.455","0.180"," 6.410","0.011"," 0.103"," 0.807"," 0.159"," 0.750"
"c_income_val"," 0.000","0.037"," 0.000","0.991","-0.072"," 0.071","-0.061"," 0.060"
"c_any_prompt","-0.094","0.102"," 0.864","0.353","-0.293"," 0.105","-0.261"," 0.073"
"c_substance_is_any_tobacco"," 1.842","0.187","97.284","0.000"," 1.476"," 2.208"," 1.535"," 2.149"
"Y"," 0.110","0.150"," 0.537","0.464","-0.185"," 0.405","-0.137"," 0.358"
