"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.409","0.307","0.546","0.321","0.522"
"c_age","0.996","0.977","1.015","0.980","1.012"
"c_is_male","0.595","0.359","0.987","0.389","0.910"
"c_is_latino","0.899","0.508","1.591","0.557","1.451"
"c_is_not_latino_and_black","1.176","0.663","2.084","0.727","1.900"
"c_is_not_latino_and_other","1.722","0.862","3.441","0.963","3.078"
"c_baseline_tobacco_history","1.040","1.013","1.067","1.017","1.063"
"c_has_partner","1.762","1.150","2.701","1.232","2.521"
"c_income_val","0.975","0.896","1.060","0.908","1.046"
"c_any_prompt","0.995","0.845","1.173","0.867","1.142"
"Y","1.319","0.970","1.794","1.019","1.708"
