"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.005","0.421","0.000","0.991","-0.830","0.821","-0.697","0.688"
"c_age"," 0.010","0.017","0.307","0.580","-0.025","0.044","-0.019","0.038"
"c_is_male","-0.521","0.480","1.175","0.278","-1.462","0.421","-1.311","0.269"
"c_is_latino","-0.026","0.493","0.003","0.958","-0.991","0.940","-0.836","0.785"
"c_is_not_latino_and_black","-0.264","0.530","0.248","0.618","-1.302","0.774","-1.135","0.607"
"c_baseline_tobacco_history"," 0.042","0.025","2.769","0.096","-0.008","0.092"," 0.000","0.084"
"c_has_partner"," 0.477","0.435","1.205","0.272","-0.375","1.330","-0.238","1.192"
"c_income_val"," 0.029","0.100","0.082","0.774","-0.168","0.226","-0.136","0.194"
"c_any_prompt_counts","-0.053","0.097","0.304","0.581","-0.243","0.136","-0.213","0.106"
"n_engaged"," 0.157","0.120","1.707","0.191","-0.078","0.392","-0.041","0.354"
