"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.467","0.533"," 0.770","0.380","-0.576","1.511","-0.409"," 1.344"
"c_age","-0.021","0.035"," 0.349","0.555","-0.089","0.048","-0.078"," 0.037"
"c_is_male","-1.516","0.850"," 3.180","0.075","-3.182","0.150","-2.914","-0.118"
"c_is_latino","-0.341","0.682"," 0.249","0.618","-1.678","0.997","-1.463"," 0.782"
"c_is_not_latino_and_black"," 0.519","1.358"," 0.146","0.702","-2.143","3.181","-1.715"," 2.753"
"c_baseline_tobacco_history","-0.029","0.039"," 0.529","0.467","-0.106","0.048","-0.093"," 0.036"
"c_has_partner"," 0.405","0.732"," 0.306","0.580","-1.030","1.840","-0.799"," 1.609"
"c_income_val"," 0.038","0.131"," 0.083","0.773","-0.219","0.295","-0.178"," 0.254"
"c_any_prompt_counts","-0.117","0.150"," 0.609","0.435","-0.412","0.177","-0.364"," 0.130"
"c_any_nic"," 4.026","0.746","29.157","0.000"," 2.565","5.487"," 2.800"," 5.252"
"n_engaged","-0.077","0.128"," 0.364","0.546","-0.328","0.174","-0.288"," 0.133"
