"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.995","0.436","2.272","0.498","1.990"
"c_age","1.010","0.976","1.045","0.981","1.039"
"c_is_male","0.594","0.232","1.523","0.270","1.309"
"c_is_latino","0.975","0.371","2.559","0.433","2.191"
"c_is_not_latino_and_black","0.768","0.272","2.168","0.321","1.835"
"c_baseline_tobacco_history","1.043","0.992","1.097","1.000","1.088"
"c_has_partner","1.612","0.687","3.779","0.788","3.295"
"c_income_val","1.029","0.845","1.253","0.872","1.214"
"c_any_prompt_counts","0.948","0.784","1.146","0.808","1.112"
"n_engaged","1.170","0.925","1.480","0.960","1.425"
