"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.596"," 0.562","  4.533"," 0.665","  3.832"
"c_age"," 0.980"," 0.914","  1.049"," 0.925","  1.038"
"c_is_male"," 0.220"," 0.042","  1.162"," 0.054","  0.889"
"c_is_latino"," 0.711"," 0.187","  2.710"," 0.232","  2.186"
"c_is_not_latino_and_black"," 1.680"," 0.117"," 24.070"," 0.180"," 15.690"
"c_baseline_tobacco_history"," 0.972"," 0.900","  1.050"," 0.911","  1.037"
"c_has_partner"," 1.499"," 0.357","  6.294"," 0.450","  4.997"
"c_income_val"," 1.039"," 0.803","  1.343"," 0.837","  1.289"
"c_any_prompt_counts"," 0.889"," 0.663","  1.194"," 0.695","  1.139"
"c_any_nic","56.035","12.996","241.605","16.438","191.017"
"n_engaged"," 0.926"," 0.720","  1.190"," 0.750","  1.143"
