"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.137"," 0.072"," 0.202"," 0.033"," 4.190","96.000"," 0.000"
"(Intercept)","-1.177","-1.524","-0.830"," 0.175","-6.737","96.000"," 0.000"
"age","-0.002","-0.007"," 0.004"," 0.003","-0.587","96.000"," 0.558"
"is_male"," 0.024","-0.130"," 0.179"," 0.078"," 0.311","96.000"," 0.756"
"is_latino","-0.036","-0.231"," 0.159"," 0.098","-0.363","96.000"," 0.717"
"is_not_latino_and_black"," 0.171"," 0.043"," 0.299"," 0.065"," 2.644","96.000"," 0.010"
"is_not_latino_and_other","-0.146","-0.559"," 0.268"," 0.209","-0.698","96.000"," 0.487"
"baseline_tobacco_history"," 0.004","-0.004"," 0.013"," 0.004"," 0.978","96.000"," 0.330"
"has_partner"," 0.058","-0.063"," 0.180"," 0.061"," 0.952","96.000"," 0.343"
"income_val","-0.043","-0.079","-0.007"," 0.018","-2.389","96.000"," 0.019"
"hour_coinflip_local"," 0.003","-0.006"," 0.013"," 0.005"," 0.722","96.000"," 0.472"
"days_between_v1_and_coinflip_local","-0.001","-0.012"," 0.011"," 0.006","-0.122","96.000"," 0.903"
"any_response_2qs"," 0.056","-0.014"," 0.127"," 0.035"," 1.588","96.000"," 0.115"
"engagement_most_recent_eligible"," 0.927"," 0.701"," 1.152"," 0.114"," 8.145","96.000"," 0.000"
