"","Estimate","95% LCL","95% UCL","StdErr","Wald","df1","df2","p-value"
"(Intercept)","  0.084","  0.047","  0.121","  0.019"," 20.455","  1.000"," 96.000","  0.000"
"(Intercept)","  0.357","  0.185","  0.528","  0.086"," 17.087","  1.000"," 96.000","  0.000"
"age"," -0.001"," -0.004","  0.002","  0.001","  0.280","  1.000"," 96.000","  0.598"
"is_male","  0.010"," -0.070","  0.089","  0.040","  0.058","  1.000"," 96.000","  0.810"
"is_latino"," -0.008"," -0.096","  0.081","  0.045","  0.031","  1.000"," 96.000","  0.861"
"is_not_latino_and_black","  0.131","  0.055","  0.207","  0.038"," 11.732","  1.000"," 96.000","  0.001"
"is_not_latino_and_other"," -0.070"," -0.202","  0.062","  0.067","  1.118","  1.000"," 96.000","  0.293"
"baseline_tobacco_history","  0.002"," -0.002","  0.007","  0.002","  1.192","  1.000"," 96.000","  0.278"
"has_partner","  0.041"," -0.025","  0.108","  0.034","  1.523","  1.000"," 96.000","  0.220"
"income_val"," -0.025"," -0.040"," -0.009","  0.008","  9.631","  1.000"," 96.000","  0.003"
"hour_coinflip_local","  0.002"," -0.004","  0.007","  0.003","  0.419","  1.000"," 96.000","  0.519"
"days_between_v1_and_coinflip_local","  0.000"," -0.007","  0.006","  0.003","  0.015","  1.000"," 96.000","  0.902"
"any_response_2qs","  0.038"," -0.002","  0.079","  0.021","  3.474","  1.000"," 96.000","  0.065"
"engagement_most_recent_eligible","  0.457","  0.379","  0.534","  0.039","137.039","  1.000"," 96.000","  0.000"
