"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.127"," 0.063"," 0.192"," 0.033"," 3.913","97.000"," 0.000"
"(Intercept)","-1.170","-1.529","-0.811"," 0.181","-6.470","97.000"," 0.000"
"age","-0.001","-0.007"," 0.004"," 0.003","-0.508","97.000"," 0.612"
"is_male"," 0.023","-0.137"," 0.182"," 0.080"," 0.280","97.000"," 0.780"
"is_latino","-0.068","-0.270"," 0.134"," 0.102","-0.672","97.000"," 0.503"
"is_not_latino_and_black"," 0.175"," 0.041"," 0.309"," 0.068"," 2.592","97.000"," 0.011"
"is_not_latino_and_other","-0.148","-0.573"," 0.276"," 0.214","-0.692","97.000"," 0.491"
"baseline_tobacco_history"," 0.005","-0.005"," 0.014"," 0.005"," 0.984","97.000"," 0.328"
"has_partner"," 0.054","-0.067"," 0.175"," 0.061"," 0.883","97.000"," 0.379"
"income_val","-0.042","-0.078","-0.006"," 0.018","-2.287","97.000"," 0.024"
"hour_coinflip_local"," 0.003","-0.006"," 0.013"," 0.005"," 0.689","97.000"," 0.493"
"days_between_v1_and_coinflip_local"," 0.000","-0.011"," 0.010"," 0.005","-0.056","97.000"," 0.955"
"any_response_2qs"," 0.051","-0.016"," 0.119"," 0.034"," 1.503","97.000"," 0.136"
"engagement_most_recent_eligible"," 0.916"," 0.693"," 1.140"," 0.113"," 8.132","97.000"," 0.000"
