"","Estimate","95% LCL","95% UCL","StdErr","Wald","df1","df2","p-value"
"(Intercept)","  0.078","  0.041","  0.115","  0.019"," 17.638","  1.000"," 97.000","  0.000"
"(Intercept)","  0.355","  0.179","  0.530","  0.089"," 16.037","  1.000"," 97.000","  0.000"
"age"," -0.001"," -0.004","  0.002","  0.001","  0.214","  1.000"," 97.000","  0.645"
"is_male","  0.007"," -0.074","  0.088","  0.041","  0.028","  1.000"," 97.000","  0.868"
"is_latino"," -0.025"," -0.114","  0.064","  0.045","  0.313","  1.000"," 97.000","  0.577"
"is_not_latino_and_black","  0.136","  0.058","  0.215","  0.040"," 11.787","  1.000"," 97.000","  0.001"
"is_not_latino_and_other"," -0.073"," -0.207","  0.060","  0.067","  1.186","  1.000"," 97.000","  0.279"
"baseline_tobacco_history","  0.003"," -0.002","  0.007","  0.002","  1.203","  1.000"," 97.000","  0.275"
"has_partner","  0.038"," -0.028","  0.103","  0.033","  1.316","  1.000"," 97.000","  0.254"
"income_val"," -0.023"," -0.039"," -0.008","  0.008","  8.664","  1.000"," 97.000","  0.004"
"hour_coinflip_local","  0.001"," -0.004","  0.007","  0.003","  0.326","  1.000"," 97.000","  0.569"
"days_between_v1_and_coinflip_local","  0.000"," -0.005","  0.006","  0.003","  0.028","  1.000"," 97.000","  0.867"
"any_response_2qs","  0.035"," -0.004","  0.074","  0.020","  3.146","  1.000"," 97.000","  0.079"
"engagement_most_recent_eligible","  0.452","  0.376","  0.529","  0.038","138.202","  1.000"," 97.000","  0.000"
