"","coefficient","estimate","LCL95","UCL95","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)","beta0"," 0.179"," 0.098"," 0.261","0.041"," 4.366","95.000","0.000"
"Low Effort Prompt (versus No Prompt)","beta1"," 0.094"," 0.025"," 0.162","0.034"," 2.725","95.000","0.008"
"Intercept","alpha0","-1.177","-1.523","-0.830","0.175","-6.737","95.000","0.000"
"age","alpha1","-0.001","-0.007"," 0.004","0.003","-0.570","95.000","0.570"
"is_male","alpha2"," 0.022","-0.133"," 0.177","0.078"," 0.286","95.000","0.775"
"is_latino","alpha3","-0.038","-0.234"," 0.159","0.099","-0.380","95.000","0.705"
"is_not_latino_and_black","alpha4"," 0.170"," 0.041"," 0.299","0.065"," 2.608","95.000","0.011"
"is_not_latino_and_other","alpha5","-0.149","-0.561"," 0.263","0.208","-0.718","95.000","0.474"
"baseline_tobacco_history","alpha6"," 0.004","-0.004"," 0.013","0.004"," 1.003","95.000","0.318"
"has_partner","alpha7"," 0.060","-0.062"," 0.182","0.062"," 0.972","95.000","0.334"
"income_val","alpha8","-0.044","-0.080","-0.008","0.018","-2.409","95.000","0.018"
"hour_coinflip_local","alpha9"," 0.003","-0.006"," 0.013","0.005"," 0.715","95.000","0.477"
"days_between_v1_and_coinflip_local","alpha10","-0.001","-0.012"," 0.011","0.006","-0.123","95.000","0.902"
"any_response_2qs","alpha11"," 0.055","-0.015"," 0.125","0.035"," 1.571","95.000","0.120"
"engagement_most_recent_eligible","alpha12"," 0.927"," 0.700"," 1.153","0.114"," 8.136","95.000","0.000"
