"","variable","estimates","LCL95","UCL95","std_err"
"1","(Intercept)"," 0.3137531894"," 0.144079071"," 0.483427308","0.086570019"
"2","is_high_effort"," 0.1128592872"," 0.065036586"," 0.160681989","0.024399786"
"3","is_low_effort"," 0.0567599784"," 0.018325421"," 0.095194535","0.019609828"
"4","age","-0.0007060489","-0.003545672"," 0.002133574","0.001448814"
"5","is_male"," 0.0075447106","-0.071219058"," 0.086308479","0.040186335"
"6","is_latino","-0.0076890510","-0.095205864"," 0.079827762","0.044652256"
"7","is_not_latino_and_black"," 0.1303825575"," 0.054462982"," 0.206302133","0.038735189"
"8","is_not_latino_and_other","-0.0714918842","-0.201102264"," 0.058118496","0.066128960"
"9","baseline_tobacco_history"," 0.0024434439","-0.001938241"," 0.006825129","0.002235595"
"10","has_partner"," 0.0423271998","-0.023793635"," 0.108448035","0.033735740"
"11","income_val","-0.0245619641","-0.040084971","-0.009038957","0.007920047"
"12","hour_coinflip_local"," 0.0016767187","-0.003535506"," 0.006888944","0.002659347"
"13","days_between_v1_and_coinflip_local","-0.0003327628","-0.006690465"," 0.006024940","0.003243785"
"14","any_response_2qs"," 0.0373581468","-0.002543332"," 0.077259626","0.020358271"
"15","engagement_most_recent_eligible"," 0.4560529725"," 0.379443508"," 0.532662437","0.039087180"
