"","variable","estimates","LCL95","UCL95","std_err"
"1","(Intercept)"," 0.3159680111"," 0.141474381"," 0.490461641","0.089028998"
"2","is_high_effort"," 0.0999990551"," 0.053383087"," 0.146615023","0.023784094"
"3","is_low_effort"," 0.0569654186"," 0.020054176"," 0.093876661","0.018832613"
"4","age","-0.0006376377","-0.003501429"," 0.002226154","0.001461145"
"5","is_male"," 0.0053697384","-0.074978758"," 0.085718235","0.040994884"
"6","is_latino","-0.0253334626","-0.113142053"," 0.062475128","0.044801125"
"7","is_not_latino_and_black"," 0.1353242468"," 0.056639322"," 0.214009172","0.040146108"
"8","is_not_latino_and_other","-0.0747945227","-0.206496797"," 0.056907752","0.067196273"
"9","baseline_tobacco_history"," 0.0025312254","-0.001985241"," 0.007047692","0.002304362"
"10","has_partner"," 0.0386787479","-0.026438873"," 0.103796369","0.033223886"
"11","income_val","-0.0235109988","-0.039184320","-0.007837677","0.007996740"
"12","hour_coinflip_local"," 0.0014483808","-0.003655154"," 0.006551915","0.002603892"
"13","days_between_v1_and_coinflip_local"," 0.0003956367","-0.005072567"," 0.005863840","0.002789951"
"14","any_response_2qs"," 0.0345272044","-0.003887469"," 0.072941878","0.019599683"
"15","engagement_most_recent_eligible"," 0.4516693022"," 0.375971021"," 0.527367584","0.038622282"
